,link,max_salary,min_salary,site,title
113,https://spb.hh.ru/vacancy/37138648?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,250000руб.,90000руб.,https://hh.ru,Менеджер по продажам кредитных продуктов
114,https://spb.hh.ru/vacancy/37377550?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,72000руб.,https://hh.ru,Слаботочник - электромонтажник
115,https://spb.hh.ru/vacancy/37405026?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,380000KZT,300000KZT,https://hh.ru,"Начальник производства, конструкций из листового металла"
116,https://spb.hh.ru/vacancy/37171405?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,60000руб.,https://hh.ru,Менеджер по продажам
117,https://spb.hh.ru/vacancy/37372453?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,200000руб.,,https://hh.ru,Руководитель отдела продаж строительных материалов
118,https://spb.hh.ru/vacancy/37407672?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,180000KZT,120000KZT,https://hh.ru,Мастер монолитных работ
119,https://spb.hh.ru/vacancy/37381373?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,120000KZT,100000KZT,https://hh.ru,Офис-менеджер
120,https://spb.hh.ru/vacancy/36429605?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,900бел.руб.,https://hh.ru,"Продавец-консультант бытовой техники (ТЦ ""Экспобел"")"
121,https://spb.hh.ru/vacancy/37282527?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,800бел.руб.,https://hh.ru,"Продавец-консультант бытовой и цифровой техники (ст.м. ""Каменная Горка"")"
122,https://spb.hh.ru/vacancy/37392849?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,300000руб.,30000руб.,https://hh.ru,Менеджер по продажам строительных материалов
123,https://www.superjob.ru/vakansii/rabochij-po-kompleksnomu-obsluzhivaniyu-i-remontu-zdanij-5-razryada-33868301.html,30000руб.,,https://www.superjob.ru,Рабочий по комплексному обслуживанию и ремонту зданий 5 разряда
124,https://www.superjob.ru/vakansii/rabochij-po-obsluzhivaniyu-zdaniya-24940582.html,25000руб.,,https://www.superjob.ru,Рабочий по обслуживанию здания
125,https://www.superjob.ru/vakansii/santehnik-30717954.html,,,https://www.superjob.ru,Сантехник / Рабочий
